Sun: Lasu'u (Lah-soo-oh)
Moon: Lumii (Loo-me)
Wind: licablo (Ee-cah-blow)
Fire: Me'flam (Me-flah-mm)
Water: Ogua (Oh-goo-ah)
Earth: Gorod'e (Gore-oh-dee)
Sky: Uva (Ooh-vah)
Tree: Lefano (Lee-fawn-oh)
Flower: Petroh (Pet-trou)
Mountain: Sykala (See-kah-lah)
Happiness: Misl'e (Me-slay)
Sadness: Ry'cah (Re-cah)
Anger: Danii (Dan-ee)
Fear: Surike (Shure-ee-kay)
Surprise: Eake (Æ-k)
Calm: Bankl'ii (Bank-lee)
Excitement: Maheko (Ma-heck-oh)
Hope: Kile'e (Kill-ee-eh)
Computer: Pucika (Pew-see-kah)
Energy: Ka (Kah)
Power: Waka (Wah-kah)
Signal: Saka (Saw-kah)
Light: Umil (Um-eel)
Sound: Kamas (Kah-mass)
Run: Togofa (Toe-go-fah) -
Jump: Paum (Pow-mm)
Speak: Katal'aa (Cat-all-ah)
Think: Maginaca (Maji-nah-kah)
See: Kooka (Coo-kah)
Hear: Stena (Sen-ah)
Touch: Terac (Tear-ack)
Build: Reaka (Ree-kah)
Create: Areaka (Ah-ree-kah)
Destroy: Kaybrah (Kay-brah)
Eat: Blhar (Bul-har)
City: Wonawona (Won-ah-won-ah)
Home: Mepace (Me-pack)
Building: Sutrak (Shoe-track)
Street: Soko (So-koh)
Forest: Lafane (Lah-fawn-æ)
River: Igua (li-goo-ah)
Ocean: Agua (Ah-goo-wah)
Shop: Eta'shu (Et-ah-shoe)
Is: Sasi (Saw-see)
A: Inu (Ee-new)
Stay: Maskeku (Mask-eck-ooh)
Rain: Egua (Egg-ooh-ah)
Wash: Teragua (Tear-ah-gua)
Behind: Utate (Ooh-tah-tay)
Front: Otate (Oh-tah-tay)
Get: Taketo (Talk-ate-oh)
Go: Oko (Oh-koh)
And: Sewal (Seh-wall)
That: Ta'ha (Tah-ha)
This: Ti'ha (Tee-ha)
There: Ake (Ah-kay)
The: Te (Tay)
Here: Eke (Ekay)
To: To (Toe)
Back: Fawora (Fah-woah-rah)
In: Caho (Cah-hoe)
Out: Hoca (Hoe-kah)
On: Topah (Toe-pah)
Little: Petite (Peh-teet-ey)
Big: Masiva (May-see-vah)
Powerful: Stonkar (Ston-kar)
Person: Hita (He-tah)
Adult: Endaga (End-aga)
Child: Sadaga (Sad-aga)
Teenager: Midaga (Mid-aga)
Are: Reia (Re)
And: Danahu (Dah-nah-hoo)
You: Ooha (Ooh-hah)
Yours: Oohada (Ooh-hah-dah)
Me: Eeha (Ee-hah)
We: Oeha (We-hah)
Ours: Oehada (We-hah-dah)
Us: Oueda (Whey-dah) -
Friend: Dai'to (Die-toe)
Yes: lyai (Ee-yï)
No: Ek'ko (Ek-oh)
Not: Ek'koka (Ek-oh-kah)
Mine/My: Eehada (Ee-hah-dah)
Must: Hatoi (Hah-toy)
Material: Mata (Mah-tah)
Clear: Setough (Sey-toe)
Opaque: Sutough (Soo-toe)
Hard: Eraka (Ee-rah-kah)
Soft: Tenaka (Tee-nah-kah)
Sticky: Esit (Ay-sit)
Slippery: Slita (Sly-tah)
Magnetic: Magnezz (Mag-nez)
Saturated: Coloka (Co-low-caw)
Desatrated: Nokacoloka (No-caw-co-low-cah)
Question Modifier: Wa (Add to end of last word)
Plural Modifier: Es (Add to end of word)
Expression of Curiosity/Confusion: Wanes (Wan-es)
